資料区分,都道府県コード,警察署等コード,本票番号,補充票番号,当事者種別,用途別,車両形状等,乗車別,乗車等の区分,サポカー,エアバッグの装備,サイドエアバッグの装備,人身損傷程度,車両の衝突部位,車両の損壊程度
2,10,059,0003,001,61,00,00,5,07,00,0,0,2,00,0
2,10,059,0004,001,03,31,01,1,07,11,2,2,2,30,3
2,10,059,0004,002,03,31,01,2,01,11,2,2,2,  , 
2,10,059,0005,001,03,31,01,1,07,11,2,2,2,30,3
2,10,101,0008,001,03,01,01,2,01,11,2,2,2,  , 
2,10,101,0008,002,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0009,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0015,001,03,31,01,2,01,01,2,2,2,  , 
2,10,101,0016,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0024,001,03,01,01,2,01,11,2,2,2,  , 
2,10,101,0026,001,03,31,01,1,07,11,2,2,2,10,3
2,10,101,0026,002,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0028,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0029,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0036,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0040,001,04,31,01,2,01,11,1,2,2,  , 
2,10,101,0041,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0044,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0046,001,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0014,001,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0015,001,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0022,001,03,31,01,1,07,11,2,2,2,60,3
2,10,102,0032,001,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0032,002,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0033,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0001,001,03,31,01,2,01,01,2,2,2,  , 
2,10,103,0002,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0003,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0004,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0013,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0027,001,03,31,01,1,07,11,2,2,2,30,3
2,10,103,0030,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0032,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0032,002,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0034,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0011,001,61,00,00,5,07,00,0,0,2,00,0
2,10,104,0016,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0017,001,03,31,01,1,07,11,2,2,2,10,3
2,10,104,0019,001,03,01,01,2,01,11,2,2,2,  , 
2,10,104,0020,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0021,001,04,31,01,2,01,11,2,2,2,  , 
2,10,104,0025,001,03,31,01,2,01,01,2,2,2,  , 
2,10,104,0030,001,04,31,01,2,01,11,2,2,2,  , 
2,10,104,0035,001,04,31,01,2,01,11,2,2,2,  , 
2,10,104,0050,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0055,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0055,002,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0057,001,01,01,01,2,01,11,2,2,2,  , 
2,10,104,0063,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0064,001,04,31,01,2,01,11,2,2,2,  , 
2,10,105,0005,001,11,01,11,1,07,11,2,2,2,10,2
2,10,105,0006,001,03,31,01,1,07,11,2,2,2,50,3
2,10,105,0006,002,14,31,11,1,07,11,2,2,2,50,3
2,10,105,0012,001,03,01,01,2,01,11,2,2,2,  , 
2,10,106,0003,001,03,31,01,2,01,11,2,2,2,  , 
2,10,106,0005,001,03,01,01,1,07,11,2,2,2,20,3
2,10,106,0006,001,04,31,01,2,01,11,2,2,2,  , 
2,10,106,0007,001,03,31,01,2,01,11,1,2,2,  , 
2,10,106,0011,001,01,31,01,2,01,11,2,2,2,  , 
2,10,106,0011,002,01,31,01,2,01,11,2,2,2,  , 
2,10,106,0011,003,01,31,01,2,01,11,2,2,2,  , 
2,10,106,0011,004,01,31,01,2,01,11,2,2,2,  , 
2,10,106,0014,001,04,31,01,2,01,11,2,2,2,  , 
2,10,106,0021,001,03,31,01,2,01,11,2,2,2,  , 
2,10,106,0024,001,03,31,01,2,01,11,2,2,2,  , 
2,10,106,0024,002,03,31,01,2,01,11,2,2,2,  , 
2,10,107,0003,001,03,31,01,2,01,11,2,2,2,  , 
2,10,107,0004,001,04,31,01,2,01,11,2,2,2,  , 
2,10,107,0009,001,03,31,01,1,07,11,2,2,2,57,3
2,10,107,0011,001,03,31,01,1,07,11,2,2,2,30,3
2,10,107,0012,001,03,31,01,2,01,11,2,2,2,  , 
2,10,107,0013,001,03,31,01,2,01,11,2,2,2,  , 
2,10,107,0014,001,03,31,01,1,07,11,2,2,2,60,3
2,10,107,0015,001,13,31,11,2,01,11,2,2,2,  , 
2,10,108,0007,001,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0003,001,61,00,00,5,07,00,0,0,2,00,0
2,10,114,0004,001,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0004,002,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0005,001,71,00,00,5,07,00,0,0,2,  , 
2,10,114,0005,002,71,00,00,5,07,00,0,0,2,  , 
2,10,114,0010,001,03,01,01,2,01,11,2,2,2,  , 
2,10,114,0013,001,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0018,001,13,31,11,2,01,11,2,2,2,  , 
2,10,114,0018,002,03,31,01,2,01,11,2,2,2,  , 
2,10,117,0004,001,03,31,01,2,01,11,2,2,2,  , 
2,10,117,0005,001,04,31,01,2,01,01,2,2,2,  , 
2,10,117,0005,002,04,31,01,2,01,01,2,2,2,  , 
2,10,117,0011,001,03,31,01,2,01,11,2,2,2,  , 
