éëóøãÊï™,ìsìπï{åßÉRÅ[Éh,åxé@èêìôÉRÅ[Éh,ñ{ï[î‘çÜ,î≠ê∂ínì_,ìπòHä«óùé“ãÊï™,ìπòHãÊï™,ã»ê¸îºåa,ècífå˘îz,ÉgÉìÉlÉãî‘çÜ,ìñéñé“é‘óºë‰êî,éñåÃóﬁå^,é‘óºíPì∆éñåÃÇÃëŒè€ï®,ó’éûë¨ìxãKêßÇÃóLñ≥,ë¨ìxãKêßÅió’éûÇÃÇ›Åj,ÉgÉìÉlÉãâÑí∑ãóó£
3,42,059,0012,0498,01,02,9,0,000,03,04,00,0,00,00000
3,42,059,0013,0498,01,02,9,1,000,04,04,00,0,00,00000
3,43,059,0001,0094,04,01,9,1,000,02,04,00,0,00,00000
3,43,059,0002,0036,01,03,9,1,000,02,04,00,0,00,00000
3,43,059,0003,0242,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0004,0274,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0005,0460,01,02,9,0,000,03,04,00,0,08,00000
3,43,059,0006,0152,01,03,9,0,000,03,04,00,0,00,00000
3,43,059,0007,0299,01,01,9,0,000,02,04,00,0,00,00000
3,43,059,0008,0000,01,09,0,0,000,03,04,00,0,00,00000
3,43,059,0009,0106,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0010,0654,01,03,9,0,000,02,04,00,0,00,00000
3,43,059,0011,0037,01,03,9,2,000,02,04,00,0,00,00000
3,43,059,0012,0076,01,01,9,1,000,02,04,00,0,00,00000
3,43,059,0013,0032,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0014,0052,04,01,9,1,000,02,04,00,0,00,00000
3,43,059,0015,0078,01,03,9,0,000,02,04,00,0,00,00000
3,43,059,0016,0288,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0017,0406,01,14,0,0,000,02,04,00,0,00,00000
3,43,059,0018,0433,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0019,0065,01,03,9,1,000,03,04,00,0,00,00000
3,43,059,0020,0280,01,03,9,1,000,02,04,00,4,04,00000
3,43,059,0021,0440,01,03,9,1,000,02,04,00,0,00,00000
3,43,059,0022,0036,01,03,9,1,000,02,04,00,0,00,00000
3,43,059,0023,0348,01,13,0,0,000,04,04,00,0,00,00000
3,43,059,0024,0113,01,03,9,1,000,03,04,00,0,07,00000
3,43,059,0025,0084,01,03,9,1,000,03,04,00,0,07,00000
3,43,059,0026,0855,01,03,9,0,000,04,04,00,0,00,00000
3,43,059,0027,0000,01,01,9,0,000,02,04,00,0,00,00000
3,43,059,0028,0432,01,01,9,1,000,02,04,00,0,00,00000
3,43,059,0029,0492,01,03,9,1,000,02,04,00,0,00,00000
3,43,059,0030,0073,04,03,9,1,000,02,04,00,0,00,00000
3,43,059,0031,0312,01,01,9,1,000,02,04,00,4,07,00000
3,44,059,0001,0074,01,01,0,0,000,02,04,00,0,00,00000
3,44,059,0002,0445,01,03,9,0,000,02,04,00,0,00,00000
3,44,059,0003,2340,01,01,0,0,000,03,28,02,0,00,00000
3,44,059,0005,0165,01,03,0,0,000,01,28,13,0,00,00000
3,44,059,0006,0000,01,09,0,0,000,03,04,00,0,02,00000
3,44,059,0007,0091,01,03,0,0,000,03,04,00,0,00,00000
3,44,059,0008,0198,01,02,0,0,000,02,04,00,0,00,00000
