資料区分,都道府県コード,警察署等コード,本票番号,補充票番号,当事者種別,用途別,車両形状等,乗車別,乗車等の区分,サポカー,エアバッグの装備,サイドエアバッグの装備,人身損傷程度,車両の衝突部位,車両の損壊程度
2,10,059,0001,001,01,01,01,2,01,11,2,2,2,  , 
2,10,059,0002,001,01,31,01,2,01,11,2,2,2,  , 
2,10,059,0004,001,03,31,01,2,01,11,2,2,2,  , 
2,10,101,0007,001,03,01,01,1,07,11,2,2,2,60,3
2,10,101,0012,001,03,01,01,2,01,11,2,2,2,  , 
2,10,101,0019,001,03,01,01,2,01,11,1,2,2,  , 
2,10,101,0019,002,03,01,01,2,01,11,2,2,2,  , 
2,10,101,0039,001,04,31,01,2,01,11,1,2,2,  , 
2,10,101,0039,002,04,31,01,2,01,11,2,2,2,  , 
2,10,102,0002,001,13,31,11,2,01,11,2,2,2,  , 
2,10,102,0007,001,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0015,001,04,31,01,2,01,11,2,2,2,  , 
2,10,102,0016,001,04,31,01,2,01,11,2,2,2,  , 
2,10,102,0023,001,04,31,01,2,01,11,2,2,2,  , 
2,10,102,0025,001,14,01,11,1,07,11,2,2,2,31,3
2,10,102,0025,002,14,01,11,2,01,11,2,2,2,  , 
2,10,102,0025,003,03,31,01,1,07,11,2,2,2,30,3
2,10,102,0034,001,03,31,01,2,01,01,2,2,2,  , 
2,10,102,0035,001,13,31,11,2,01,11,2,2,2,  , 
2,10,102,0035,002,13,31,11,2,01,11,2,2,2,  , 
2,10,102,0037,001,03,31,01,2,01,11,2,2,2,  , 
2,10,102,0037,002,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0011,001,03,31,01,2,01,11,2,2,2,  , 
2,10,103,0018,001,03,31,01,1,07,11,2,2,2,50,3
2,10,103,0023,001,03,31,01,1,07,11,2,2,2,30,3
2,10,103,0027,001,04,31,01,2,01,11,2,2,2,  , 
2,10,103,0029,001,61,00,00,5,07,00,0,0,2,00,0
2,10,103,0041,001,04,31,01,2,01,11,2,2,2,  , 
2,10,103,0041,002,04,31,01,2,01,11,2,2,2,  , 
2,10,103,0043,001,03,31,01,2,01,11,1,1,2,  , 
2,10,104,0011,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0013,001,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0023,001,03,01,01,2,01,11,2,2,2,  , 
2,10,104,0025,001,14,01,11,1,07,11,2,2,2,13,3
2,10,104,0025,002,04,31,01,1,07,11,2,2,2,13,3
2,10,104,0025,003,03,31,01,1,07,11,2,2,2,10,3
2,10,104,0025,004,03,31,01,2,01,11,2,2,2,  , 
2,10,104,0031,001,04,31,01,1,07,11,2,1,2,15,1
2,10,105,0004,001,04,31,01,2,01,11,2,2,2,  , 
2,10,106,0003,001,03,31,01,2,01,01,2,2,2,  , 
2,10,106,0003,002,03,31,01,2,01,01,2,2,2,  , 
2,10,106,0010,001,04,31,01,2,01,11,2,2,2,  , 
2,10,106,0014,001,04,31,01,2,01,11,2,2,2,  , 
2,10,106,0014,002,04,31,01,2,01,11,2,2,2,  , 
2,10,106,0016,001,04,31,01,1,07,11,2,2,2,20,3
2,10,106,0023,001,11,01,11,1,07,11,2,2,2,30,3
2,10,107,0011,001,03,31,01,2,01,11,2,2,2,  , 
2,10,107,0012,001,03,31,01,2,01,11,2,2,2,  , 
2,10,107,0013,001,04,31,01,2,01,11,1,2,2,  , 
2,10,108,0002,001,04,31,01,2,01,11,2,2,2,  , 
2,10,111,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0003,001,03,01,01,2,01,11,2,2,2,  , 
2,10,114,0004,001,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0006,001,04,31,01,2,01,11,2,2,2,  , 
2,10,114,0012,001,03,31,01,2,01,11,2,2,2,  , 
2,10,114,0012,002,03,31,01,2,01,11,2,2,2,  , 
2,10,117,0004,001,04,31,01,2,01,01,2,2,2,  , 
2,10,117,0005,001,71,00,00,5,07,00,0,0,2,  , 
2,10,117,0008,001,04,31,01,1,07,11,2,2,2,80,3
2,10,117,0008,002,03,31,01,1,07,11,2,2,2,30,3
2,10,117,0010,001,03,31,01,2,01,11,2,2,2,  , 
2,10,117,0014,001,03,31,01,2,01,11,1,2,2,  , 
2,10,117,0018,001,03,31,01,2,01,11,2,2,2,  , 
2,10,117,0019,001,03,01,01,2,01,11,2,2,2,  , 
2,10,118,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,10,119,0002,001,03,31,01,2,01,01,2,2,2,  , 
2,10,120,0001,001,03,31,01,2,01,11,1,2,2,  , 
2,10,120,0002,001,03,31,01,2,01,11,2,2,2,  , 
2,10,120,0002,002,03,31,01,2,01,11,2,2,2,  , 
2,10,120,0004,001,03,31,01,2,01,11,1,2,2,  , 
2,10,120,0005,001,03,31,01,2,01,11,2,2,2,  , 
2,10,122,0003,001,04,31,01,2,01,11,2,2,2,  , 
2,10,122,0005,001,13,31,11,2,01,11,2,2,2,  , 
2,10,122,0005,002,13,31,11,2,01,11,2,2,2,  , 
2,10,122,0006,001,03,01,01,2,01,11,2,2,2,  , 
2,10,123,0002,001,03,31,01,1,07,11,2,2,2,30,3
2,10,123,0002,002,03,31,01,2,01,11,2,2,2,  , 
2,10,123,0003,001,04,31,01,2,01,11,2,2,2,  , 
2,10,123,0009,001,61,00,00,5,07,00,0,0,2,00,0
2,10,123,0011,001,03,31,01,1,07,11,2,2,2,30,3
2,10,123,0014,001,03,31,01,2,01,11,2,2,2,  , 
2,10,123,0015,001,01,01,01,2,01,11,2,2,2,  , 
2,10,123,0016,001,61,00,00,5,07,00,0,0,2,00,0
2,10,123,0023,001,13,31,11,2,01,11,1,2,2,  , 
2,10,123,0026,001,03,31,01,2,01,11,2,2,2,  , 
2,10,123,0026,002,03,31,01,2,01,11,2,2,2,  , 
2,10,123,0029,001,03,01,01,2,01,11,2,2,2,  , 
2,10,123,0029,002,03,01,01,2,01,11,2,2,2,  , 
2,10,124,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,10,127,0001,001,03,31,01,1,07,11,2,2,2,13,2
2,10,127,0001,002,04,31,01,2,01,11,2,2,2,  , 
2,10,127,0010,001,13,31,11,2,01,11,2,2,2,  , 
2,10,127,0014,001,04,31,01,2,01,11,2,2,2,  , 
2,10,127,0022,001,13,31,11,2,01,11,2,2,2,  , 
2,10,127,0025,001,03,31,01,2,01,11,1,2,2,  , 
2,10,127,0025,002,03,31,01,1,07,11,2,2,2,10,3
2,10,127,0025,003,03,31,01,2,01,11,2,2,2,  , 
2,10,127,0030,001,04,31,01,1,07,11,2,2,2,13,2
2,10,127,0030,002,03,31,01,1,07,11,2,2,2,10,3
2,10,127,0032,001,03,31,01,2,01,11,2,2,2,  , 
2,10,127,0038,001,13,31,11,2,01,11,2,2,2,  , 
2,10,127,0044,001,03,31,01,2,01,11,2,2,2,  , 
2,10,127,0058,001,03,31,01,2,01,11,2,2,2,  , 
2,10,127,0059,001,04,31,01,2,01,11,2,2,2,  , 
2,10,127,0061,001,03,31,01,2,01,11,2,2,2,  , 
2,10,127,0063,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0001,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0001,002,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0002,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0011,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0012,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0013,001,01,01,01,2,01,11,2,2,2,  , 
2,10,128,0017,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0023,001,03,31,01,1,07,11,2,2,2,30,3
2,10,128,0025,001,14,31,11,1,07,11,2,2,2,10,3
2,10,128,0026,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0030,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0030,002,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0031,001,03,01,01,2,01,11,2,2,2,  , 
2,10,128,0037,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0038,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0039,001,14,01,11,2,01,11,2,2,2,  , 
2,10,128,0042,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0042,002,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0043,001,04,31,01,2,01,11,2,2,2,  , 
2,10,128,0047,001,03,31,01,1,07,11,2,2,2,68,3
2,10,128,0049,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0052,001,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0052,002,03,31,01,2,01,11,2,2,2,  , 
2,10,128,0053,001,04,31,01,2,01,01,2,2,2,  , 
2,10,128,0060,001,04,31,01,2,01,11,1,2,1,  , 
2,10,128,0063,001,04,31,01,2,01,11,2,2,2,  , 
2,10,129,0004,001,04,31,01,2,01,11,2,2,2,  , 
2,10,129,0008,001,03,31,01,2,01,11,2,2,2,  , 
2,10,129,0011,001,04,31,01,2,01,11,2,2,2,  , 
2,10,129,0015,001,03,31,01,2,01,11,2,2,2,  , 
2,10,129,0030,001,04,31,01,2,01,11,2,2,2,  , 
2,10,129,0032,001,04,31,01,2,01,11,2,2,2,  , 
2,10,130,0002,001,03,31,01,2,01,11,2,2,2,  , 
2,10,130,0005,001,03,31,01,2,01,11,2,2,2,  , 
2,10,130,0006,001,03,31,01,2,01,11,2,2,1,  , 
2,10,130,0016,001,03,31,01,2,01,11,2,2,2,  , 
2,10,130,0019,001,14,31,11,2,01,11,2,2,2,  , 
2,10,130,0022,001,03,31,01,2,01,11,2,2,2,  , 
2,10,130,0036,001,04,31,01,2,01,11,2,2,2,  , 
2,10,131,0013,001,04,31,01,2,01,11,2,2,2,  , 
2,10,131,0020,001,03,31,01,1,07,11,2,2,2,10,3
2,10,131,0022,001,04,31,01,2,01,11,2,2,2,  , 
2,10,131,0024,001,04,31,01,1,07,11,2,2,2,80,3
2,11,201,0005,001,04,31,01,2,01,11,2,2,2,  , 
2,11,201,0005,002,04,31,01,2,01,11,2,2,2,  , 
2,11,201,0012,001,03,31,01,2,01,11,1,2,2,  , 
2,11,201,0015,001,03,31,01,2,01,11,2,2,2,  , 
2,11,201,0025,001,03,31,01,2,01,11,2,2,2,  , 
2,11,203,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,11,203,0002,001,04,31,01,2,01,11,2,2,2,  , 
2,11,203,0003,001,04,31,01,1,07,11,1,2,2,50,2
2,11,204,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,11,206,0002,001,03,31,01,2,01,11,2,2,2,  , 
2,11,207,0001,001,03,31,01,1,07,11,2,2,2,10,3
2,12,050,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,12,303,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,12,306,0003,001,03,31,01,2,01,11,2,2,2,  , 
2,12,306,0003,002,03,31,01,2,01,11,2,2,2,  , 
2,12,306,0003,003,03,31,01,2,01,11,2,2,2,  , 
2,12,307,0001,001,03,31,01,2,01,11,1,1,1,  , 
2,12,307,0001,002,03,31,01,2,01,11,1,1,2,  , 
2,12,307,0001,003,03,31,01,2,01,11,1,1,1,  , 
2,12,307,0005,001,03,31,01,2,01,11,2,2,2,  , 
2,12,307,0007,001,03,31,01,2,01,01,2,2,2,  , 
2,12,313,0005,001,03,31,01,2,01,11,2,2,2,  , 
2,12,313,0013,001,03,31,01,2,01,11,2,2,2,  , 
2,12,313,0014,001,04,31,01,1,07,11,2,2,2,56,3
2,12,313,0016,001,04,31,01,2,01,11,2,2,2,  , 
2,13,401,0004,001,13,31,11,1,07,11,2,2,2,30,3
2,13,401,0018,001,61,00,00,5,07,00,0,0,2,00,0
2,13,401,0023,001,13,31,11,2,01,11,2,2,2,  , 
2,13,401,0024,001,03,31,01,2,01,11,2,2,2,  , 
2,13,402,0002,001,03,31,01,2,01,11,2,2,2,  , 
2,13,405,0001,001,13,01,11,1,07,11,1,2,2,50,1
2,13,405,0001,002,13,01,11,2,01,11,2,2,2,  , 
2,13,408,0003,001,03,31,01,2,01,11,2,2,2,  , 
2,13,408,0014,001,04,31,01,1,07,11,2,2,2,20,3
2,13,408,0015,001,03,31,01,2,01,11,2,2,2,  , 
2,13,408,0016,001,71,00,00,5,07,00,0,0,2,  , 
2,13,408,0035,001,13,31,11,2,01,11,2,2,2,  , 
2,13,409,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,14,501,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,14,501,0004,001,04,31,01,2,01,11,2,2,2,  , 
2,14,501,0006,001,04,31,01,2,01,11,2,2,2,  , 
2,14,501,0012,001,03,31,01,2,01,11,1,2,2,  , 
2,14,501,0012,002,03,31,01,2,01,11,1,2,2,  , 
2,14,501,0013,001,03,01,01,2,01,11,2,2,2,  , 
2,14,501,0014,001,04,31,01,2,01,11,2,2,2,  , 
2,14,503,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,14,503,0001,002,03,31,01,2,01,11,2,2,2,  , 
2,14,504,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,14,504,0001,002,03,31,01,2,01,11,2,2,2,  , 
2,14,504,0002,001,61,00,00,5,07,00,0,0,2,00,0
2,14,506,0002,001,13,31,11,1,07,11,2,2,2,30,3
2,20,059,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,20,059,0001,002,03,31,01,2,01,11,2,2,2,  , 
2,20,101,0007,001,03,31,01,2,01,11,2,2,2,  , 
2,20,101,0011,001,04,31,01,2,01,11,2,2,2,  , 
2,20,101,0014,001,03,31,01,2,01,01,2,2,2,  , 
2,20,101,0015,001,03,31,01,2,01,01,1,2,2,  , 
2,20,101,0015,002,03,31,01,2,01,01,1,2,2,  , 
2,20,101,0020,001,04,31,01,2,01,11,2,2,2,  , 
2,20,101,0021,001,04,31,01,2,01,11,2,2,2,  , 
2,20,101,0022,001,03,31,01,2,01,11,2,2,2,  , 
2,20,101,0032,001,03,01,01,2,01,11,2,2,2,  , 
2,20,101,0034,001,61,00,00,5,07,00,0,0,2,00,0
2,20,101,0048,001,03,31,01,2,01,11,2,2,2,  , 
2,20,101,0055,001,04,31,01,2,01,11,2,2,2,  , 
2,20,102,0007,001,71,00,00,5,07,00,0,0,2,  , 
2,20,102,0008,001,61,00,00,5,07,00,0,0,2,00,0
2,20,102,0018,001,03,31,01,1,07,11,2,2,2,30,3
2,20,102,0025,001,03,31,01,2,01,11,1,2,2,  , 
2,20,102,0026,001,04,31,01,1,07,11,2,2,2,70,3
2,20,102,0029,001,03,31,01,2,01,11,2,2,2,  , 
2,20,102,0037,001,03,31,01,2,01,11,2,2,2,  , 
2,20,102,0038,001,14,31,11,2,01,11,2,2,2,  , 
2,20,102,0038,002,03,31,01,2,01,11,2,2,2,  , 
2,20,103,0015,001,14,31,11,2,01,11,2,2,2,  , 
2,20,103,0018,001,03,31,01,2,01,01,2,2,2,  , 
2,20,103,0020,001,04,31,01,1,07,11,2,2,2,30,3
2,20,103,0022,001,03,31,01,2,01,01,1,1,2,  , 
2,20,103,0026,001,03,31,01,2,01,11,2,2,2,  , 
2,20,103,0027,001,04,31,01,2,01,11,1,2,2,  , 
2,20,103,0031,001,61,00,00,5,07,00,0,0,2,00,0
2,20,103,0035,001,04,31,01,2,01,11,2,2,2,  , 
2,20,103,0042,001,03,31,01,1,07,11,2,2,2,30,2
2,20,103,0044,001,03,31,01,2,01,11,2,2,2,  , 
2,20,103,0044,002,03,31,01,2,01,11,2,2,2,  , 
2,20,103,0050,001,03,31,01,2,01,11,2,2,2,  , 
2,20,103,0051,001,04,31,01,1,07,11,2,2,2,30,3
2,20,103,0053,001,03,31,01,2,01,11,2,2,2,  , 
2,20,104,0002,001,04,31,01,2,01,11,1,2,2,  , 
2,20,104,0003,001,03,31,01,2,01,11,2,2,2,  , 
2,20,104,0006,001,04,31,01,2,01,11,2,2,2,  , 
2,20,104,0012,001,03,31,01,2,01,01,2,2,2,  , 
2,20,104,0013,001,04,31,01,2,01,11,1,2,2,  , 
2,20,104,0013,002,04,31,01,2,01,11,1,2,2,  , 
2,20,106,0004,001,03,31,01,2,01,11,2,2,2,  , 
2,20,107,0005,001,03,31,01,2,01,11,2,2,2,  , 
2,20,107,0008,001,04,31,01,1,07,11,1,2,2,10,2
2,20,107,0018,001,03,31,01,2,01,11,2,2,2,  , 
2,20,109,0001,001,03,31,01,2,01,11,2,2,2,  , 
2,20,109,0002,001,04,31,01,2,01,11,2,2,2,  , 
2,20,109,0002,002,04,31,01,2,01,11,2,2,2,  , 
2,20,109,0002,003,04,31,01,2,01,11,2,2,2,  , 
2,20,109,0003,001,04,31,01,2,01,11,2,2,2,  , 
2,20,109,0004,001,04,31,01,2,01,11,2,2,2,  , 
2,20,109,0006,001,04,31,01,1,07,11,2,2,2,30,3
2,20,109,0006,002,03,31,01,2,01,11,2,2,2,  , 
2,20,109,0006,003,03,31,01,2,01,11,2,2,2,  , 
2,20,109,0006,004,03,31,01,2,01,11,2,2,2,  , 
2,20,110,0001,001,04,31,01,2,01,11,1,2,2,  , 
2,20,110,0002,001,04,01,01,2,01,01,2,2,1,  , 
2,20,110,0003,001,04,31,01,2,01,11,2,2,2,  , 
2,20,110,0004,001,03,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,001,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,002,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,003,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,004,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,005,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,006,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,007,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,008,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,009,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,010,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,011,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,012,01,01,01,2,01,11,2,2,2,  , 
2,20,110,0007,013,01,01,01,2,01,11,2,2,2,  , 
